recinto,dia,hora_inicio,hora_fin,entidad,monitor_detalle,espacio_sugerido,tipo_sugerido
Programas O Proyectos Deportivos Piscina Municipal 2025,Lunes,20:00,21:00,Nado Libre,,Piscina - Espacio 1,
Programas O Proyectos Deportivos Piscina Municipal 2025,Martes,20:00,21:00,Nado Libre,,Piscina - Espacio 1,
Programas O Proyectos Deportivos Piscina Municipal 2025,Miércoles,20:00,21:00,Nado Libre,,Piscina - Espacio 1,
Programas O Proyectos Deportivos Piscina Municipal 2025,Jueves,20:00,21:00,Nado Libre,,Piscina - Espacio 1,
Programas O Proyectos Deportivos Piscina Municipal 2025,Viernes,20:00,21:00,Nado Libre,,Piscina - Espacio 1,
Programas O Proyectos Deportivos Piscina Municipal 2025,Sábado,20:00,21:00,Ind Jovenes En Movimiento,Profesora: Ivette Valllejos,Piscina - Espacio 1,
Programas O Proyectos Deportivos Piscina Municipal 2025,Lunes,21:00,22:00,Nado Libre,,Piscina - Espacio 1,
Programas O Proyectos Deportivos Piscina Municipal 2025,Martes,21:00,22:00,Nado Libre,,Piscina - Espacio 1,
Programas O Proyectos Deportivos Piscina Municipal 2025,Miércoles,21:00,22:00,Nado Libre,,Piscina - Espacio 1,
Programas O Proyectos Deportivos Piscina Municipal 2025,Jueves,21:00,22:00,Nado Libre,,Piscina - Espacio 1,
Programas O Proyectos Deportivos Piscina Municipal 2025,Viernes,21:00,22:00,Nado Libre,,Piscina - Espacio 1,
Programas O Proyectos Deportivo Espacio Infantil De Psicomotricidad Polideportivo,Jueves,10:00,11:00,Jardín Bello Amanecer,,,
Programas O Proyectos Deportivo Espacio Infantil De Psicomotricidad Polideportivo,Viernes,10:00,11:00,Jardín Bello Amanecer,,,
Programas O Proyectos Deportivo Espacio Infantil De Psicomotricidad Polideportivo,Martes,14:00,15:00,Escuela Baudilia Avendaño De Yousuff,,,
Programas O Proyectos Deportivo Espacio Infantil De Psicomotricidad Polideportivo,Jueves,14:00,15:00,Escuela Baudilia Avendaño De Yousuff,,,
Cancha Luis Gallito Gonzalez,Sábado,10:00,11:00,Escuela De Futbol Orlando Torterolio,,,
Cancha Luis Gallito Gonzalez,Sábado,11:00,12:00,Escuela De Futbol Orlando Torterolio,,,
Cancha Luis Gallito Gonzalez,Sábado,12:00,13:00,Escuela De Futbol Orlando Torterolio,,,
Cancha Luis Gallito Gonzalez,Viernes,14:00,15:00,Escuela De Futbol Orlando Torterolio,,,
Cancha Luis Gallito Gonzalez,Viernes,15:00,16:00,Escuela De Futbol Orlando Torterolio,,,
Cancha Luis Gallito Gonzalez,Martes,16:00,17:00,Escuela De Futbol Gallito Gonzalez,,,
Cancha Luis Gallito Gonzalez,Viernes,16:00,17:00,Escuela De Futbol Gallito Gonzalez,,,
Cancha Luis Gallito Gonzalez,Lunes,17:00,18:00,Escuela De Futbol Carlos Rodriguez,,,
Cancha Luis Gallito Gonzalez,Martes,17:00,18:00,Escuela De Futbol Filial Colo Colo,,,
Cancha Luis Gallito Gonzalez,Miércoles,17:00,18:00,Escuela De Futbol Carlos Rodriguez,,,
Cancha Luis Gallito Gonzalez,Jueves,17:00,18:00,Escuela De Futbol Filial Colo Colo,,,
Cancha Luis Gallito Gonzalez,Viernes,17:00,18:00,Escuela De Futbol Carlos Rodriguez,,,
Cancha Luis Gallito Gonzalez,Lunes,18:00,19:00,Escuela De Futbol Carlos Rodriguez,,,
Cancha Luis Gallito Gonzalez,Miércoles,18:00,19:00,Escuela De Futbol Carlos Rodriguez,,,
Cancha Luis Gallito Gonzalez,Jueves,18:00,19:00,Escuela De Futbol Filial Colo Colo,,,
Cancha Luis Gallito Gonzalez,Viernes,18:00,19:00,Escuela Arturo Vidal,,,
Programas O Proyectos Deportivos Gimnasio Jose Miguel Carrera 2025,Martes,21:00,22:00,Deportes Municipalidad,,,institucion_publica
Programas O Proyectos Deportivos Gimnasio Jose Miguel Carrera 2025,Lunes,22:00,23:00,Magisterio,,,institucion_publica
Programas O Proyectos Deportivos Estadio Municipal Victor Borquez Miranda 2025,Lunes,09:00,10:00,Ejercito De Chile,,,institucion_publica
Programas O Proyectos Deportivos Estadio Municipal Victor Borquez Miranda 2025,Martes,09:00,10:00,Ejercito De Chile,,,institucion_publica
Programas O Proyectos Deportivos Estadio Municipal Victor Borquez Miranda 2025,Miércoles,09:00,10:00,Ejercito De Chile,,,institucion_publica
Programas O Proyectos Deportivos Estadio Municipal Victor Borquez Miranda 2025,Jueves,09:00,10:00,Ejercito De Chile,,,institucion_publica
Cancha Luis Gallito Gonzalez,Lunes,14:00,15:00,Carabineros De Chile,,,institucion_publica
Cancha Luis Gallito Gonzalez,Miércoles,15:00,16:00,Armada De Chile,,,institucion_publica
Cancha Luis Gallito Gonzalez,Jueves,20:00,21:00,Municipalidad,,,institucion_publica
